100;Fokker F100;The Netherlands
141;BAe 146-100 Pax;United Kingdom
142;BAe 146-200 Pax;United Kingdom
143;BAe 146-300 Pax;United Kingdom
146;BAe 146 all pax models;United Kingdom
14F;BAe 146 Freighter (-100/200/300QT);United Kingdom
14X;BAe 146 Freighter (-100QT & QC);United Kingdom
14Y;BAe 146 Freighter (-200QT & QC);United Kingdom
14Z;BAe 146 Freighter (-200QT & QC);United Kingdom
310;Airbus A310 all pax models;European consortium
312;Airbus A310-200 pax;European consortium
313;Airbus A310-300 pax;European consortium
318;Airbus A318;European consortium
319;Airbus A319;European consortium
31F;Airbus A310 Freighter;European consortium
31X;Airbus A310-200 Freighter;European consortium
31Y;Airbus A310-300 Freighter;European consortium
320;Airbus A320-100/200;European consortium
321;Airbus A321-100/200;European consortium
32S;Airbus A318/319/320/321;European consortium
330;Airbus A330 all models;European consortium
332;Airbus A330-200;European consortium
333;Airbus A330-300;European consortium
340;Airbus A340 all models;European consortium
342;Airbus A340-200;European consortium
343;Airbus A340-300;European consortium
345;Airbus A340-500;European consortium
346;Airbus A340-600;European consortium
380;Airbus A380 pax;European consortium
388;Airbus A380-800 pax;European consortium
38F;Airbus A380 Freighter;European consortium
703;Boeing 707-300 pax;United States
707;Boeing 707/720 all pax models;United States
70F;Boeing 707 Freighter;United States
70M;Boeing 707 Combi;United States
717;Boeing 717;United States
721;Boeing 727-100 pax;United States
722;Boeing 727-200 pax;United States
727;Boeing 727 all pax models;United States
72B;Boeing 727-100 Mixed Configuration;United States
72C;Boeing 727-200 Mixed Configuration;United States
72F;Boeing 727 Freighter (-100/200);United States
72M;Boeing 727 Combi;United States
72S;Boeing 727-200 Advanced pax;United States
72X;Boeing 727-100 Freighter;United States
72Y;Boeing 727-200 Freighter;United States
731;Boeing 737-100 pax;United States
732;Boeing 737-200 pax;United States
733;Boeing 737-300 pax;United States
734;Boeing 737-400 pax;United States
735;Boeing 737-500 pax;United States
736;Boeing 737-600 pax;United States
737;Boeing 737 all pax models;United States
738;Boeing 737-800 pax;United States
739;Boeing 737-900 pax;United States
73F;Boeing 737 all Freighter models;United States
73G;Boeing 737-700 pax;United States
73H;Boeing 737-800 (winglets) pax;United States
73M;Boeing 737-200 Combi;United States
73W;Boeing 737-700 (winglets) pax;United States
73X;Boeing 737-200 Freighter;United States
73Y;Boeing 737-300 Freighter;United States
741;Boeing 747-100 pax;United States
742;Boeing 747-200 pax;United States
743;Boeing 747-300 pax;United States
744;Boeing 747-400 pax;United States
747;Boeing 747 all pax models;United States
74C;Boeing 747-200 Combi;United States
74D;Boeing 747-300 Combi;United States
74E;Boeing 747-400 Combi;United States
74F;Boeing 747 all Freighter models;United States
74J;Boeing 747-400 (Domestic) pax;United States
74L;Boeing 747SP;United States
74M;Boeing 747 all Combi models;United States
74R;Boeing 747SR pax;United States
74T;Boeing 747-100 Freighter;United States
74U;Boeing 747-300 / 747-200 SUD Freighter;United States
74V;Boeing 747SR Freighter;United States
74X;Boeing 747-200 Freighter;United States
74Y;Boeing 747-400 Freighter;United States
752;Boeing 757-200 pax;United States
753;Boeing 757-300 pax;United States
757;Boeing 757 all pax models;United States
75M;Boeing 757 Mixed Configuration;United States
762;Boeing 767-200 pax;United States
763;Boeing 767-300 pax;United States
764;Boeing 767-400 pax;United States
767;Boeing 767 all pax models;United States
76F;Boeing 767 all Freighter models;United States
76X;Boeing 767-200 Freighter;United States
76Y;Boeing 767-300 Freighter;United States
773;Boeing 777-300 pax;United States
777;Boeing 777 all pax models;United States
A30;Antonov AN-30;Ukraine
A32;Antonov AN-32;Ukraine
A40;Antonov AN-140;Ukraine
A4F;Antonov AN-124 Ruslan;Ukraine
AB3;Airbus A300 pax;European consortium
AB6;Airbus A300-600 pax;European consortium
ACD;Gulfstream/Rockwell Turbo Commander;United States
ACP;Gulfstream/Rockwell Commander;United States
ACT;Gulfstream/Rockwell Turbo Commander;United States
ANF;Antonov AN-12;Ukraine
APH;Eurocopter SA330 Puma/AS332 Super Puma;France
AR1;Avro RJ100 Avroliner;United Kingdom
AR7;Avro RJ70 Avroliner;United Kingdom
AR8;Avro RJ85 Avroliner;United Kingdom
ARJ;Avro RJ70 RJ85 / RJ100 Avroliner;United Kingdom
ARX;Avro RJX85 RJX100;United Kingdom
AT4;Aerospatiale/Alenia ATR 42-300 / 320;France
AT5;Aerospatiale/Alenia ATR 42-500;France
AT7;Aerospatiale/Alenia ATR 72;France
ATP;British Aerospace ATP;United Kingdom
ATR;Aerospatiale/Alenia ATR 42/ ATR 72;France
AX1;Avro RJX100;United Kingdom
B11;British Aerospace One Eleven;United Kingdom
B12;British Aerospace One Eleven 200;United Kingdom
B13;British Aerospace One Eleven 300;United Kingdom
B14;British Aerospace One Eleven 400/475;United Kingdom
B15;British Aerospace One Eleven 500;United Kingdom
BEH;Raytheon Beechcraft 1900D;USA
BES;Raytheon Beechcraft 1900/1900C;USA
BNT;Britten-Norman BN-2A Mk III Trislander;United Kingdom
CCJ;Canadair Challenger;Canada
CL4;Canadair CL-44;Canada
CR1;Canadair Regional Jet 100;Canada
CR2;Canadair Regional Jet 200;Canada
CR7;Canadair Regional Jet 700;Canada
CR9;Canadair Regional Jet 900;Canada
CRJ;Canadair Regional Jet;Canada
CS2;CASA / IPTN 212 Aviocar;Spain
CS5;CASA / IPTN CN-235;Spain
D10;Douglas DC-10 pax;United States
D11;Douglas DC-10-10/15 pax;United States
D1C;Douglas DC-10-30/40 pax;United States
D1F;Douglas DC-10 all Freighters;United States
D1X;Douglas DC-10-10 Freighter;United States
D1Y;Douglas DC-10-30 / 40 Freighters;United States
D28;Fairchild Dornier Do.228;Germany
D38;Fairchild Dornier Do.328;Germany
D91;Douglas DC-9-10 pax;United States
D92;Douglas DC-9-20 pax;United States
D93;Douglas DC-9-30 pax;United States
D94;Douglas DC-9-40 pax;United States
D95;Douglas DC-9-50 pax;United States
DC9;Douglas DC-9 all pax models;United States
DF2;Dassault Falcon 10 100 20 200 2000;France
DF3;Dassault Falcon 50 900;France
DFL;Dassault Falcon;France
DH1;De Havilland DHC-8-100 Dash 8 8Q;Canada
DH2;De Havilland DHC-8-200 Dash 8 8Q;Canada
DH3;De Havilland DHC-8-300 Dash 8 8Q;Canada
DH4;De Havilland DHC-8-400 Dash 8Q;Canada
DH7;De Havilland DHC-7 Dash 7;Canada
DH8;De Havilland DHC-8 Dash 8 all models;Canada
DHD;De Havilland DH.104 Dove;Canada
DHH;De Havilland DH.114 Heron;Canada
DHL;De Havilland DHC-3 Turbo Otter;Canada
DHO;De Havilland DHC-3 Otter Turbo Otter;Canada
E70;Embraer 170;Brazil
E75;Embraer 175;Brazil
E90;Embraer 190;Brazil
E95;Embraer 195;Brazil
EM2;Embraer EMB.120 Brasilia;Brazil
EMB;Embraer EMB.110 Bandeirnate;Brazil
EMJ;Embraer 170/190;Brazil
ER3;Embraer RJ135;Brazil
ER4;Embraer RJ145 Amazon;Brazil
ERD;Embraer RJ140;Brazil
ERJ;Embraer RJ135 / RJ140 / RJ145;Brazil
F21;Fokker F.28 Fellowship 1000;The Netherlands
F50;Fokker 50;The Netherlands
F70;Fokker 70;The Netherlands
FRJ;Fairchild Dornier 328JET;Germany
GRG;Grumman G.21 Goose;United States
GRJ;Gulfstream G-1159 II III IV V;United States
H25;Hawker Siddeley HS.125;United Kingdom
HS7;Hawker Siddeley HS.748;United Kingdom
I14;Ilyushin IL114;Russian Federation
I9M;Ilyushin IL96M pax;Russian Federation
J31;British Aerospace Jetstream 31;United Kingdom
J41;British Aerospace Jetstream 41;United Kingdom
JST;British Aerospace Jetstream 31 32 41;United Kingdom
L10;Lockheed L-1011 Tristar pax;United States
L11;Lockheed L-1011 50 100 150 200 250;United States
L15;Lockheed L-1011 500 Tristar pax;United States
L1F;Lockheed L-1011 Tristar Freighter;United States
L4T;LET 410;Czech Republic
LOH;Lockheed L-182 282 382 L-100 Hercules;United States
M11;McDonnell Douglas MD11 pax;United States
M1F;McDonnell Douglas MD11 Freighter;United States
M1M;McDonnell Douglas MD11 Mixed Conf.;United States
M80;McDonnell Douglas MD80;United States
M81;McDonnell Douglas MD81;United States
M82;McDonnell Douglas MD82;United States
M83;McDonnell Douglas MD83;United States
M87;McDonnell Douglas MD87;United States
M88;McDonnell Douglas MD88;United States
M90;McDonnell Douglas MD90;United States
MBH;Eurocopter (MBB) Bo.105;Germany
MIH;MIL Mi-8 / Mi-17 / Mi-171 / Mil-172;Russian Federation
MU2;Mitsubishi Mu-2;Japan
NDH;Eurocopter SA365C SA365N Dauphin 2;France
S20;Saab 2000;Sweden
S58;Sikorsky S-58T;United States
S61;Sikorsky S-61;United States
S76;Sikorsky S-76;United States
SF3;Saab SF340A/B;Sweden
SH3;Shorts SD.330;United Kingdom
SH6;Shorts SD.360;United Kingdom
SHB;Shorts SC-5 Belfast;United Kingdom
SHS;Shorts SC-7 Skyvan;United Kingdom
SSC;Aerospatiale/BAC Concorde;France
SWM;Fairchild (Swearingen) SA26 SA226 SA227 Metro Merlin Expediter;United States
T20;Tupolev Tu-204 / Tu-214;Russian Federation
TU3;Tupolev Tu134;Russian Federation
TU5;Tupolev Tu154;Russian Federation
YS1;NAMC YS-11;Japan
